code,name,submun,city,province
124712031,Langayen,,Pikit,Cotabato
124712034,Macabual,,Pikit,Cotabato
124712035,Macasendeg,,Pikit,Cotabato
124712037,Manaulanan,,Pikit,Cotabato
124712040,Nabundas,,Pikit,Cotabato
124712041,Nalapaan,,Pikit,Cotabato
124712044,Nunguan,,Pikit,Cotabato
124712046,Paidu Pulangi,,Pikit,Cotabato
124712048,Panicupan,,Pikit,Cotabato
124712050,Poblacion,,Pikit,Cotabato
124712051,Punol,,Pikit,Cotabato
124712052,Rajah Muda,,Pikit,Cotabato
124712055,Silik,,Pikit,Cotabato
124712056,Takipan,,Pikit,Cotabato
124712057,Talitay,,Pikit,Cotabato
124712060,Tinutulan,,Pikit,Cotabato
124712062,Pamalian,,Pikit,Cotabato
124713000,PRESIDENT ROXAS,,,Cotabato
124713001,Alegria,,President Roxas,Cotabato
124713002,Bato-bato,,President Roxas,Cotabato
124713003,Del Carmen,,President Roxas,Cotabato
124713005,F. Cajelo (New Maasin),,President Roxas,Cotabato
124713006,Idaoman,,President Roxas,Cotabato
124713007,Ilustre,,President Roxas,Cotabato
124713008,Kamarahan,,President Roxas,Cotabato
124713009,Camasi,,President Roxas,Cotabato
124713011,Kisupaan,,President Roxas,Cotabato
124713012,La Esperanza,,President Roxas,Cotabato
124713013,Labu-o,,President Roxas,Cotabato
124713014,Lamalama,,President Roxas,Cotabato
124713016,Lomonay,,President Roxas,Cotabato
124713022,New Cebu,,President Roxas,Cotabato
124713024,Poblacion,,President Roxas,Cotabato
124713026,Sagcungan,,President Roxas,Cotabato
124713027,Salat,,President Roxas,Cotabato
124713028,Sarayan,,President Roxas,Cotabato
124713029,Tuael,,President Roxas,Cotabato
124713030,Greenhill,,President Roxas,Cotabato
124713031,Cabangbangan,,President Roxas,Cotabato
124713032,Datu Indang,,President Roxas,Cotabato
124713033,Datu Sandongan,,President Roxas,Cotabato
124713034,Kimaruhing,,President Roxas,Cotabato
124713035,Mabuhay,,President Roxas,Cotabato
124714000,TULUNAN,,,Cotabato
124714001,Bagumbayan,,Tulunan,Cotabato
124714002,Banayal,,Tulunan,Cotabato
124714003,Batang,,Tulunan,Cotabato
124714004,Bituan,,Tulunan,Cotabato
124714005,Bual,,Tulunan,Cotabato
124714006,Daig,,Tulunan,Cotabato
124714007,Damawato,,Tulunan,Cotabato
124714008,Dungos,,Tulunan,Cotabato
124714009,Kanibong,,Tulunan,Cotabato
124714010,La Esperanza,,Tulunan,Cotabato
124714011,Lampagang,,Tulunan,Cotabato
124714012,Bunawan,,Tulunan,Cotabato
124714013,Magbok,,Tulunan,Cotabato
124714014,Maybula,,Tulunan,Cotabato
124714015,Minapan,,Tulunan,Cotabato
124714016,New Caridad,,Tulunan,Cotabato
124714017,New Culasi,,Tulunan,Cotabato
124714018,New Panay,,Tulunan,Cotabato
124714019,Paraiso,,Tulunan,Cotabato
124714020,Poblacion,,Tulunan,Cotabato
124714021,Popoyon,,Tulunan,Cotabato
124714022,Sibsib,,Tulunan,Cotabato
124714023,Tambac,,Tulunan,Cotabato
124714024,Tuburan,,Tulunan,Cotabato
124714026,F. Cajelo,,Tulunan,Cotabato
124714027,Bacong,,Tulunan,Cotabato
124714028,Galidan,,Tulunan,Cotabato
124714029,Genoveva Baynosa,,Tulunan,Cotabato
124714030,Nabundasan,,Tulunan,Cotabato
124715000,ANTIPAS,,,Cotabato
124715001,Camutan,,Antipas,Cotabato
124715002,Canaan,,Antipas,Cotabato
124715003,Dolores,,Antipas,Cotabato
124715004,Kiyaab,,Antipas,Cotabato
124715005,Luhong,,Antipas,Cotabato
124715006,Magsaysay,,Antipas,Cotabato
