psgc_code,name,submun,city,province
133904015,Barangay 282,San Nicolas,Manila,Metro Manila
133904016,Barangay 283,San Nicolas,Manila,Metro Manila
133904017,Barangay 284,San Nicolas,Manila,Metro Manila
133904018,Barangay 285,San Nicolas,Manila,Metro Manila
133904019,Barangay 286,San Nicolas,Manila,Metro Manila
133905000,SANTA CRUZ,,SubMun,
133905001,Barangay 297,Santa Cruz,Manila,Metro Manila
133905002,Barangay 298,Santa Cruz,Manila,Metro Manila
133905003,Barangay 299,Santa Cruz,Manila,Metro Manila
133905004,Barangay 300,Santa Cruz,Manila,Metro Manila
133905005,Barangay 301,Santa Cruz,Manila,Metro Manila
133905006,Barangay 302,Santa Cruz,Manila,Metro Manila
133905007,Barangay 303,Santa Cruz,Manila,Metro Manila
133905008,Barangay 304,Santa Cruz,Manila,Metro Manila
133905009,Barangay 305,Santa Cruz,Manila,Metro Manila
133905012,Barangay 310,Santa Cruz,Manila,Metro Manila
133905013,Barangay 311,Santa Cruz,Manila,Metro Manila
133905014,Barangay 312,Santa Cruz,Manila,Metro Manila
133905015,Barangay 313,Santa Cruz,Manila,Metro Manila
133905016,Barangay 314,Santa Cruz,Manila,Metro Manila
133905017,Barangay 315,Santa Cruz,Manila,Metro Manila
133905018,Barangay 316,Santa Cruz,Manila,Metro Manila
133905019,Barangay 317,Santa Cruz,Manila,Metro Manila
133905020,Barangay 318,Santa Cruz,Manila,Metro Manila
133905021,Barangay 319,Santa Cruz,Manila,Metro Manila
133905022,Barangay 320,Santa Cruz,Manila,Metro Manila
133905023,Barangay 321,Santa Cruz,Manila,Metro Manila
133905024,Barangay 322,Santa Cruz,Manila,Metro Manila
133905025,Barangay 323,Santa Cruz,Manila,Metro Manila
133905026,Barangay 324,Santa Cruz,Manila,Metro Manila
133905027,Barangay 325,Santa Cruz,Manila,Metro Manila
133905028,Barangay 326,Santa Cruz,Manila,Metro Manila
133905029,Barangay 327,Santa Cruz,Manila,Metro Manila
133905030,Barangay 328,Santa Cruz,Manila,Metro Manila
133905031,Barangay 329,Santa Cruz,Manila,Metro Manila
133905032,Barangay 330,Santa Cruz,Manila,Metro Manila
133905033,Barangay 331,Santa Cruz,Manila,Metro Manila
133905034,Barangay 332,Santa Cruz,Manila,Metro Manila
133905035,Barangay 333,Santa Cruz,Manila,Metro Manila
133905036,Barangay 334,Santa Cruz,Manila,Metro Manila
133905037,Barangay 335,Santa Cruz,Manila,Metro Manila
133905038,Barangay 336,Santa Cruz,Manila,Metro Manila
133905039,Barangay 337,Santa Cruz,Manila,Metro Manila
133905040,Barangay 338,Santa Cruz,Manila,Metro Manila
133905041,Barangay 339,Santa Cruz,Manila,Metro Manila
133905042,Barangay 340,Santa Cruz,Manila,Metro Manila
133905043,Barangay 341,Santa Cruz,Manila,Metro Manila
133905044,Barangay 342,Santa Cruz,Manila,Metro Manila
