,code,name,submun,city,province,address
124,133901131,Barangay 131,Tondo,Manila,Metro Manila,"Barangay 131,Tondo,Manila,Metro Manila"
125,133901132,Barangay 132,Tondo,Manila,Metro Manila,"Barangay 132,Tondo,Manila,Metro Manila"
126,133901133,Barangay 133,Tondo,Manila,Metro Manila,"Barangay 133,Tondo,Manila,Metro Manila"
127,133901134,Barangay 134,Tondo,Manila,Metro Manila,"Barangay 134,Tondo,Manila,Metro Manila"
128,133901135,Barangay 135,Tondo,Manila,Metro Manila,"Barangay 135,Tondo,Manila,Metro Manila"
129,133901136,Barangay 136,Tondo,Manila,Metro Manila,"Barangay 136,Tondo,Manila,Metro Manila"
130,133901137,Barangay 137,Tondo,Manila,Metro Manila,"Barangay 137,Tondo,Manila,Metro Manila"
131,133901138,Barangay 138,Tondo,Manila,Metro Manila,"Barangay 138,Tondo,Manila,Metro Manila"
132,133901139,Barangay 139,Tondo,Manila,Metro Manila,"Barangay 139,Tondo,Manila,Metro Manila"
133,133901140,Barangay 140,Tondo,Manila,Metro Manila,"Barangay 140,Tondo,Manila,Metro Manila"
134,133901141,Barangay 141,Tondo,Manila,Metro Manila,"Barangay 141,Tondo,Manila,Metro Manila"
135,133901142,Barangay 142,Tondo,Manila,Metro Manila,"Barangay 142,Tondo,Manila,Metro Manila"
136,133901143,Barangay 143,Tondo,Manila,Metro Manila,"Barangay 143,Tondo,Manila,Metro Manila"
137,133901144,Barangay 144,Tondo,Manila,Metro Manila,"Barangay 144,Tondo,Manila,Metro Manila"
138,133901145,Barangay 145,Tondo,Manila,Metro Manila,"Barangay 145,Tondo,Manila,Metro Manila"
139,133901146,Barangay 146,Tondo,Manila,Metro Manila,"Barangay 146,Tondo,Manila,Metro Manila"
140,133901147,Barangay 147,Tondo,Manila,Metro Manila,"Barangay 147,Tondo,Manila,Metro Manila"
141,133901148,Barangay 148,Tondo,Manila,Metro Manila,"Barangay 148,Tondo,Manila,Metro Manila"
142,133901149,Barangay 149,Tondo,Manila,Metro Manila,"Barangay 149,Tondo,Manila,Metro Manila"
143,133901150,Barangay 150,Tondo,Manila,Metro Manila,"Barangay 150,Tondo,Manila,Metro Manila"
144,133901151,Barangay 151,Tondo,Manila,Metro Manila,"Barangay 151,Tondo,Manila,Metro Manila"
145,133901152,Barangay 152,Tondo,Manila,Metro Manila,"Barangay 152,Tondo,Manila,Metro Manila"
146,133901153,Barangay 153,Tondo,Manila,Metro Manila,"Barangay 153,Tondo,Manila,Metro Manila"
147,133901154,Barangay 154,Tondo,Manila,Metro Manila,"Barangay 154,Tondo,Manila,Metro Manila"
148,133901155,Barangay 155,Tondo,Manila,Metro Manila,"Barangay 155,Tondo,Manila,Metro Manila"
149,133901156,Barangay 156,Tondo,Manila,Metro Manila,"Barangay 156,Tondo,Manila,Metro Manila"
150,133901157,Barangay 157,Tondo,Manila,Metro Manila,"Barangay 157,Tondo,Manila,Metro Manila"
151,133901158,Barangay 158,Tondo,Manila,Metro Manila,"Barangay 158,Tondo,Manila,Metro Manila"
152,133901159,Barangay 159,Tondo,Manila,Metro Manila,"Barangay 159,Tondo,Manila,Metro Manila"
153,133901160,Barangay 160,Tondo,Manila,Metro Manila,"Barangay 160,Tondo,Manila,Metro Manila"
154,133901161,Barangay 161,Tondo,Manila,Metro Manila,"Barangay 161,Tondo,Manila,Metro Manila"
155,133901162,Barangay 162,Tondo,Manila,Metro Manila,"Barangay 162,Tondo,Manila,Metro Manila"
156,133901163,Barangay 163,Tondo,Manila,Metro Manila,"Barangay 163,Tondo,Manila,Metro Manila"
157,133901164,Barangay 164,Tondo,Manila,Metro Manila,"Barangay 164,Tondo,Manila,Metro Manila"
158,133901165,Barangay 165,Tondo,Manila,Metro Manila,"Barangay 165,Tondo,Manila,Metro Manila"
159,133901166,Barangay 166,Tondo,Manila,Metro Manila,"Barangay 166,Tondo,Manila,Metro Manila"
160,133901167,Barangay 167,Tondo,Manila,Metro Manila,"Barangay 167,Tondo,Manila,Metro Manila"
161,133901168,Barangay 168,Tondo,Manila,Metro Manila,"Barangay 168,Tondo,Manila,Metro Manila"
162,133901169,Barangay 169,Tondo,Manila,Metro Manila,"Barangay 169,Tondo,Manila,Metro Manila"
163,133901170,Barangay 170,Tondo,Manila,Metro Manila,"Barangay 170,Tondo,Manila,Metro Manila"
164,133901171,Barangay 171,Tondo,Manila,Metro Manila,"Barangay 171,Tondo,Manila,Metro Manila"
165,133901172,Barangay 172,Tondo,Manila,Metro Manila,"Barangay 172,Tondo,Manila,Metro Manila"
166,133901173,Barangay 173,Tondo,Manila,Metro Manila,"Barangay 173,Tondo,Manila,Metro Manila"
167,133901174,Barangay 174,Tondo,Manila,Metro Manila,"Barangay 174,Tondo,Manila,Metro Manila"
168,133901175,Barangay 175,Tondo,Manila,Metro Manila,"Barangay 175,Tondo,Manila,Metro Manila"
169,133901176,Barangay 176,Tondo,Manila,Metro Manila,"Barangay 176,Tondo,Manila,Metro Manila"
170,133901177,Barangay 177,Tondo,Manila,Metro Manila,"Barangay 177,Tondo,Manila,Metro Manila"
171,133901178,Barangay 178,Tondo,Manila,Metro Manila,"Barangay 178,Tondo,Manila,Metro Manila"
172,133901179,Barangay 179,Tondo,Manila,Metro Manila,"Barangay 179,Tondo,Manila,Metro Manila"
173,133901180,Barangay 180,Tondo,Manila,Metro Manila,"Barangay 180,Tondo,Manila,Metro Manila"
174,133901181,Barangay 181,Tondo,Manila,Metro Manila,"Barangay 181,Tondo,Manila,Metro Manila"
175,133901182,Barangay 182,Tondo,Manila,Metro Manila,"Barangay 182,Tondo,Manila,Metro Manila"
176,133901183,Barangay 183,Tondo,Manila,Metro Manila,"Barangay 183,Tondo,Manila,Metro Manila"
177,133901184,Barangay 184,Tondo,Manila,Metro Manila,"Barangay 184,Tondo,Manila,Metro Manila"
178,133901185,Barangay 185,Tondo,Manila,Metro Manila,"Barangay 185,Tondo,Manila,Metro Manila"
179,133901186,Barangay 186,Tondo,Manila,Metro Manila,"Barangay 186,Tondo,Manila,Metro Manila"
180,133901187,Barangay 187,Tondo,Manila,Metro Manila,"Barangay 187,Tondo,Manila,Metro Manila"
181,133901188,Barangay 188,Tondo,Manila,Metro Manila,"Barangay 188,Tondo,Manila,Metro Manila"
182,133901189,Barangay 189,Tondo,Manila,Metro Manila,"Barangay 189,Tondo,Manila,Metro Manila"
183,133901190,Barangay 190,Tondo,Manila,Metro Manila,"Barangay 190,Tondo,Manila,Metro Manila"
184,133901191,Barangay 191,Tondo,Manila,Metro Manila,"Barangay 191,Tondo,Manila,Metro Manila"
185,133901192,Barangay 192,Tondo,Manila,Metro Manila,"Barangay 192,Tondo,Manila,Metro Manila"
186,133901193,Barangay 193,Tondo,Manila,Metro Manila,"Barangay 193,Tondo,Manila,Metro Manila"
187,133901194,Barangay 194,Tondo,Manila,Metro Manila,"Barangay 194,Tondo,Manila,Metro Manila"
188,133901195,Barangay 195,Tondo,Manila,Metro Manila,"Barangay 195,Tondo,Manila,Metro Manila"
189,133901196,Barangay 196,Tondo,Manila,Metro Manila,"Barangay 196,Tondo,Manila,Metro Manila"
190,133901197,Barangay 197,Tondo,Manila,Metro Manila,"Barangay 197,Tondo,Manila,Metro Manila"
191,133901198,Barangay 198,Tondo,Manila,Metro Manila,"Barangay 198,Tondo,Manila,Metro Manila"
192,133901199,Barangay 199,Tondo,Manila,Metro Manila,"Barangay 199,Tondo,Manila,Metro Manila"
193,133901200,Barangay 200,Tondo,Manila,Metro Manila,"Barangay 200,Tondo,Manila,Metro Manila"
194,133901201,Barangay 201,Tondo,Manila,Metro Manila,"Barangay 201,Tondo,Manila,Metro Manila"
195,133901202,Barangay 202,Tondo,Manila,Metro Manila,"Barangay 202,Tondo,Manila,Metro Manila"
196,133901203,Barangay 202-A,Tondo,Manila,Metro Manila,"Barangay 202-A,Tondo,Manila,Metro Manila"
197,133901204,Barangay 203,Tondo,Manila,Metro Manila,"Barangay 203,Tondo,Manila,Metro Manila"
198,133901205,Barangay 204,Tondo,Manila,Metro Manila,"Barangay 204,Tondo,Manila,Metro Manila"
199,133901206,Barangay 205,Tondo,Manila,Metro Manila,"Barangay 205,Tondo,Manila,Metro Manila"
200,133901207,Barangay 206,Tondo,Manila,Metro Manila,"Barangay 206,Tondo,Manila,Metro Manila"
201,133901208,Barangay 207,Tondo,Manila,Metro Manila,"Barangay 207,Tondo,Manila,Metro Manila"
202,133901209,Barangay 208,Tondo,Manila,Metro Manila,"Barangay 208,Tondo,Manila,Metro Manila"
203,133901210,Barangay 209,Tondo,Manila,Metro Manila,"Barangay 209,Tondo,Manila,Metro Manila"
204,133901211,Barangay 210,Tondo,Manila,Metro Manila,"Barangay 210,Tondo,Manila,Metro Manila"
205,133901212,Barangay 211,Tondo,Manila,Metro Manila,"Barangay 211,Tondo,Manila,Metro Manila"
206,133901213,Barangay 212,Tondo,Manila,Metro Manila,"Barangay 212,Tondo,Manila,Metro Manila"
207,133901214,Barangay 213,Tondo,Manila,Metro Manila,"Barangay 213,Tondo,Manila,Metro Manila"
208,133901215,Barangay 214,Tondo,Manila,Metro Manila,"Barangay 214,Tondo,Manila,Metro Manila"
