,code,name,submun,city,province,address
270,124709028,Milaya,,Midsayap,Cotabato,"Milaya,Midsayap,Cotabato"
271,124709029,Mudseng,,Midsayap,Cotabato,"Mudseng,Midsayap,Cotabato"
272,124709030,Nabalawag,,Midsayap,Cotabato,"Nabalawag,Midsayap,Cotabato"
273,124709031,Nalin,,Midsayap,Cotabato,"Nalin,Midsayap,Cotabato"
274,124709032,Nes,,Midsayap,Cotabato,"Nes,Midsayap,Cotabato"
275,124709033,Olandang,,Midsayap,Cotabato,"Olandang,Midsayap,Cotabato"
276,124709034,Patindeguen,,Midsayap,Cotabato,"Patindeguen,Midsayap,Cotabato"
277,124709035,Barangay Poblacion 1,,Midsayap,Cotabato,"Barangay Poblacion 1,Midsayap,Cotabato"
278,124709036,Barangay Poblacion 2,,Midsayap,Cotabato,"Barangay Poblacion 2,Midsayap,Cotabato"
279,124709037,Barangay Poblacion 3,,Midsayap,Cotabato,"Barangay Poblacion 3,Midsayap,Cotabato"
280,124709038,Barangay Poblacion 4,,Midsayap,Cotabato,"Barangay Poblacion 4,Midsayap,Cotabato"
281,124709039,Barangay Poblacion 5,,Midsayap,Cotabato,"Barangay Poblacion 5,Midsayap,Cotabato"
282,124709040,Barangay Poblacion 6,,Midsayap,Cotabato,"Barangay Poblacion 6,Midsayap,Cotabato"
283,124709041,Barangay Poblacion 7,,Midsayap,Cotabato,"Barangay Poblacion 7,Midsayap,Cotabato"
284,124709042,Barangay Poblacion 8,,Midsayap,Cotabato,"Barangay Poblacion 8,Midsayap,Cotabato"
285,124709043,Palongoguen,,Midsayap,Cotabato,"Palongoguen,Midsayap,Cotabato"
286,124709044,Rangaban,,Midsayap,Cotabato,"Rangaban,Midsayap,Cotabato"
287,124709045,Sadaan,,Midsayap,Cotabato,"Sadaan,Midsayap,Cotabato"
288,124709046,Salunayan,,Midsayap,Cotabato,"Salunayan,Midsayap,Cotabato"
289,124709047,Sambulawan,,Midsayap,Cotabato,"Sambulawan,Midsayap,Cotabato"
290,124709048,San Isidro,,Midsayap,Cotabato,"San Isidro,Midsayap,Cotabato"
291,124709049,Santa Cruz,,Midsayap,Cotabato,"Santa Cruz,Midsayap,Cotabato"
292,124709050,Tugal,,Midsayap,Cotabato,"Tugal,Midsayap,Cotabato"
293,124709051,Tumbras,,Midsayap,Cotabato,"Tumbras,Midsayap,Cotabato"
294,124709052,Bulanan Upper,,Midsayap,Cotabato,"Bulanan Upper,Midsayap,Cotabato"
295,124709053,Upper Glad I,,Midsayap,Cotabato,"Upper Glad I,Midsayap,Cotabato"
296,124709054,Upper Glad II,,Midsayap,Cotabato,"Upper Glad II,Midsayap,Cotabato"
297,124709055,Upper Labas,,Midsayap,Cotabato,"Upper Labas,Midsayap,Cotabato"
298,124709056,Villarica,,Midsayap,Cotabato,"Villarica,Midsayap,Cotabato"
299,124709057,Kiwanan,,Midsayap,Cotabato,"Kiwanan,Midsayap,Cotabato"
300,124709058,San Pedro,,Midsayap,Cotabato,"San Pedro,Midsayap,Cotabato"
301,124710000,M'LANG,,,Cotabato,"M'LANG,Cotabato"
302,124710001,Bagontapay,,M’lang,Cotabato,"Bagontapay,M’lang,Cotabato"
303,124710002,Bialong,,M’lang,Cotabato,"Bialong,M’lang,Cotabato"
304,124710003,Buayan,,M’lang,Cotabato,"Buayan,M’lang,Cotabato"
305,124710004,Calunasan,,M’lang,Cotabato,"Calunasan,M’lang,Cotabato"
306,124710005,Dalipe,,M’lang,Cotabato,"Dalipe,M’lang,Cotabato"
307,124710006,Dagong,,M’lang,Cotabato,"Dagong,M’lang,Cotabato"
308,124710007,Dungo-an,,M’lang,Cotabato,"Dungo-an,M’lang,Cotabato"
309,124710008,Gaunan,,M’lang,Cotabato,"Gaunan,M’lang,Cotabato"
310,124710009,Inas,,M’lang,Cotabato,"Inas,M’lang,Cotabato"
311,124710010,Katipunan,,M’lang,Cotabato,"Katipunan,M’lang,Cotabato"
312,124710011,La Fortuna,,M’lang,Cotabato,"La Fortuna,M’lang,Cotabato"
313,124710012,La Suerte,,M’lang,Cotabato,"La Suerte,M’lang,Cotabato"
314,124710013,Langkong,,M’lang,Cotabato,"Langkong,M’lang,Cotabato"
